cat,freq,n-grams
trabalhador,13,ser preciso
problema,13,EDUARDO eduardorodrigues
problema,13,EDUARDO eduardorodrigues diariogaucho
problema,13,assessoria
problema,13,atender
problema,13,caminhar
problema,13,caso
problema,13,chao
problema,13,chover
problema,13,cruzar
problema,13,eduardorodrigues
problema,13,eduardorodrigues diariogaucho
problema,13,eduardorodrigues diariogaucho br
problema,13,entulho
problema,13,garante
problema,13,maior
problema,13,menino
problema,13,parar
problema,13,quase
problema,13,risco
problema,13,sempre
problema,13,transito
problema,13,trecho
problema,13,usuario
problema,13,velocidade
policia,13,Conforme
policia,13,aluno
policia,13,assim
policia,13,celular
policia,13,comerciante
policia,13,enquanto
policia,13,exemplo companheiro
policia,13,fechar
policia,13,fogo
policia,13,gol
policia,13,haver ser
policia,13,incendio
policia,13,ir apreender
policia,13,julho
policia,13,justica
policia,13,levantar
policia,13,matador
policia,13,situacao
policia,13,vizinho
policia,13,voltar
novidades,13,Enquanto
novidades,13,acao
novidades,13,alem
novidades,13,animal
novidades,13,ator
novidades,13,cabeca
novidades,13,canoa
novidades,13,comentar
novidades,13,computador
novidades,13,comunidade
novidades,13,construcao
novidades,13,criar
novidades,13,evento
novidades,13,existir
novidades,13,fim
novidades,13,final semana
novidades,13,irmao
novidades,13,manter
novidades,13,morar
novidades,13,mostrar
novidades,13,motor
novidades,13,nao poder
novidades,13,perder
novidades,13,predio
novidades,13,presidente
novidades,13,proprio
novidades,13,questao
novidades,13,tao
esportes,13,acreditar
esportes,13,antes
esportes,13,competicao
esportes,13,considerar
esportes,13,entrar
esportes,13,fato
esportes,13,inicio
esportes,13,lado
esportes,13,libertar
esportes,13,parecer
esportes,13,resultado
esportes,13,ultimo
esportes,13,voltar
trabalhador,12,administrativo
trabalhador,12,carreira
trabalhador,12,conta
trabalhador,12,dado
trabalhador,12,direito
trabalhador,12,ensino fundamental
trabalhador,12,enviar curriculo
trabalhador,12,inscricao aberta
trabalhador,12,interessar dever
trabalhador,12,ligar
trabalhador,12,medico
trabalhador,12,numero
trabalhador,12,passar
trabalhador,12,prova
trabalhador,12,telefone
trabalhador,12,ultimo
problema,12,Porem
problema,12,avenida
problema,12,casa ano
problema,12,coisa
problema,12,conserto
problema,12,contar
problema,12,dificuldade
problema,12,dono casa ano
problema,12,estar ser
problema,12,fechar
problema,12,funcao
problema,12,ja ir
problema,12,mora
problema,12,motorista
problema,12,patio
problema,12,pouco
problema,12,preocupacao
problema,12,preocupar
problema,12,problema ser
problema,12,relatar
problema,12,voltar
policia,12,2a
policia,12,achar
policia,12,alem
policia,12,aline
policia,12,aline custodiar
policia,12,aline custodiar diariogaucho
policia,12,ano estar
policia,12,autor
policia,12,bairro porto
policia,12,bandido
policia,12,boca fumo
policia,12,cena
policia,12,clinica
policia,12,conta
policia,12,custodiar
policia,12,custodiar diariogaucho
policia,12,custodiar diariogaucho br
policia,12,custodio
policia,12,custodio aline
policia,12,custodio aline custodiar
policia,12,defensor
policia,12,delegacia
policia,12,disparo
policia,12,enforcar
policia,12,esclarecer
policia,12,fumo
policia,12,funcionario
policia,12,galeria
policia,12,grave
policia,12,invadir casa
policia,12,janeiro
policia,12,latrocinio
policia,12,pagar
policia,12,policiar
policia,12,primeiro
policia,12,quinta feira
policia,12,rapaz
policia,12,seguir
policia,12,segunda feira
policia,12,ser apontar
policia,12,ser preso
policia,12,tentativa
policia,12,via
novidades,12,abrigar
novidades,12,ajudar
novidades,12,churrasco
novidades,12,curso
novidades,12,decidir
novidades,12,defesa
novidades,12,doenca
novidades,12,emergencial
novidades,12,encaminhar
novidades,12,erva
novidades,12,fa
novidades,12,forma
novidades,12,frio
novidades,12,gosto
novidades,12,inquerito
novidades,12,investir
novidades,12,janeiro
novidades,12,jogar
novidades,12,mama
novidades,12,milhoes ser
novidades,12,modelo
novidades,12,mudanca
novidades,12,municipal
novidades,12,musical
novidades,12,nivel
novidades,12,nunca
novidades,12,primeiros
novidades,12,ser mais
novidades,12,sexta
novidades,12,sistema
novidades,12,transito
novidades,12,transporte
novidades,12,vender
novidades,12,vestir
esportes,12,atuar
esportes,12,avaliar
esportes,12,certo
esportes,12,condicao
esportes,12,dentro
esportes,12,fe
esportes,12,fisico
esportes,12,forte
esportes,12,frente
esportes,12,ocorrer
esportes,12,passe
esportes,12,pior
esportes,12,poder ser
esportes,12,proprio
esportes,12,resultados
esportes,12,situacao
esportes,12,somente
esportes,12,tanto
trabalhador,11,beleza
trabalhador,11,chegar
trabalhador,11,construcao
trabalhador,11,dar
trabalhador,11,espaco trabalhador
trabalhador,11,experiencia
trabalhador,11,gestao
trabalhador,11,haver
trabalhador,11,levar
trabalhador,11,limpeza
trabalhador,11,mais informar
trabalhador,11,prever
trabalhador,11,responder
trabalhador,11,ser fazer
trabalhador,11,setor
problema,11,acidente
problema,11,altura
problema,11,cano
problema,11,correr
problema,11,direito
problema,11,enviar
problema,11,espera
problema,11,estrutura
problema,11,feira
problema,11,fralda
problema,11,grande
problema,11,indicar
problema,11,instalacao
problema,11,julho
problema,11,la
problema,11,ligar
problema,11,lixao
problema,11,medo
problema,11,melhoria
problema,11,nao ir
problema,11,nova
problema,11,novo
problema,11,ponto
problema,11,querer
problema,11,responsavel
problema,11,seguir
problema,11,ser preciso
problema,11,seriar
problema,11,tecnico
problema,11,telefone
problema,11,ter ser
problema,11,ultimo
problema,11,virar
policia,11,agressao
policia,11,anteceder
policia,11,assassinar
policia,11,banco
policia,11,banda
policia,11,cadeia
policia,11,dado
policia,11,decretar
policia,11,diretor
policia,11,domingo
policia,11,encontrar morto
policia,11,estacionar
policia,11,familiar
policia,11,gerente
policia,11,homem ir
policia,11,internar
policia,11,lembrar
policia,11,lista
policia,11,maconha
policia,11,mao
policia,11,numero
policia,11,nunca
policia,11,pai
policia,11,partir
policia,11,ponto
policia,11,pouco
policia,11,preventivo
policia,11,sala
policia,11,ser investigar
policia,11,telefone
policia,11,vila bairro
novidades,11,20h
novidades,11,40h
novidades,11,Conforme
novidades,11,acontecer
novidades,11,alterar
novidades,11,ano ir
novidades,11,ano passar
novidades,11,avaliar
novidades,11,baixar
novidades,11,busca
novidades,11,circular
novidades,11,construir
novidades,11,crescer
novidades,11,danca
novidades,11,direito
novidades,11,dividir
novidades,11,dormir
novidades,11,energia
novidades,11,enfrentar
novidades,11,ensino
novidades,11,frente
novidades,11,importante
novidades,11,infantil
novidades,11,investigacao
novidades,11,junho
novidades,11,junto
novidades,11,justica
novidades,11,menor
novidades,11,moradia
novidades,11,mostra
novidades,11,musica
novidades,11,necessidade
novidades,11,observar
novidades,11,olho
novidades,11,papel
novidades,11,personagem
novidades,11,pombo
novidades,11,preciso
novidades,11,quanto
